numero_expediente,url_archivo_TC,url_archivo_original,tipo_expediente,motivos_demanda,sentido_resolucion,fundamentos
00277-2002-AA,https://tc.gob.pe/jurisprudencia/2003/00277-2002-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"El recurrente, con fecha 9 de julio de 2001, interpone acción de amparo contra el Director de la Dirección Regional de Educación de Huánuco, don Carlos Manuel Cornejo Cañoli, por considerar que se ha violado su derecho constitucional a la libertad de trabajo y solicita el objeto de que se anule el acto administrativo denominado· · Reubicación de la Plaza docente para nombramiento de docentes 2001, por el que se dispone la reubicación de doña Alejandrina Clemencia Pascual Basurto del C.N.!. Hermilio Valdizán, en el que venía laborando, al C.N. Aurelio Cárdenas, en la plaza de Computación e Informática en la cual había sido nombrado. Sustenta su demanda en los siguientes hechos: a) de acuerdo con la Resolución ~ Directora! Regional N.O 01839, de fecha 31 de mayo de 2001, fue nombrado profesor de la especialidad de Computación e Informática en el Colegio Nacional Aurelio Cárdenas, por lo que dicha resolución tiene la calidad de consentida; b) la reubicación en cuestión es un acto administrativo nulo de pleno derecho, ya que ha sido realizado por órgano incompetente y contrario a la Constitución y las leyes, pues la Comisión encargada de la reubicación fue conformada para impugnar sólo las resoluciones de los docentes que han transgredido la ley tratando de obtener un puntaje en forma ilícita; mas no para anular ni modificar las resoluciones de los docentes que ya se encontraban laborando en cumplimiento de las resoluciones de nombramiento; e) durante el acto de reubicación, su persona debió ser ratificada en la plaza del citado colegio, por cuanto ocupó el primer puesto en el Cuadro de Mérito; sin embargo, la nueva Comisión llamó a la concursante doña Alejandrina Clemencia Pascual Basurto, quien había sido nombrada en la especialidad de Educación Laboral Industrial Básica de Producción en el Hogar del • 2 Colegio Nacional Hermilio Valdizán, y dispuso su reubicación en la plaza ocupada por el demandante, aduciéndose que dicha plaza no era de Computación e Informática, sino de Formación Laboral, acto que dejó al demandante desplazado y sin trabajo; d) de otro lado, se ha cursado el oficio múltiple N.o 0123-200l-CTAR-HUÁNUCO/DRE/CND, de fecha 29 de junio de 2001, en el que se ordena que los directores de los diferentes centros educativos den posesión de cargo a los docentes reubicados, y se deja de lado a los nombrados con resolución. El emplazado propone la excepción de falta de agotamiento de la vía administrativa, por considerar que el demandante ha tenido pleno conocimiento del proceso de revisión y recalificación; asimismo, porque se le informó que la plaza para la que fue nombrado no era de Computación, sino de Fonnación Laboral ""Educación para el Trabajo""; por consiguiente, no debió ser nombrado. Doña Alejandrina Clemencia Pascual Basurto interviene como tercera coadyuvante en el proceso y solicita que se declare improcedente la demanda, dado que el demandante, sin tener la especialidad de Formación Laboral, pues posee un título en la especialidad de Computación, y en forma irregular, fue nombrado por la Primera Comisión de Evaluación. De otro lado, manifiesta que el demandante ha formulado reclamo sobre la vigencia de su nombramiento en la vía administrativa, el cual se encuentra pendiente de resolver. El Procurador Público del Ministerio de Educación solicita que la demanda sea declarada infundada o improcedente, por considerar que el nombramiento del demandante se efectuó por encontrarse vacante una plaza en Formación Laboral, pese a que este es especialista en Informática y Microcomputación, y no en Formación Laboral, razón por la que se expidió el documento que deja sin efecto su nombramiento por no reunir los requisitos indispensables, y se nombra a la señora Pascual Basurto para ocupar dicha plaza. El Segundo Juzgado Mixto de Huánuco, con fecha 26 de octubre de 2001, declaró fundada la demanda, alegando que el concurso público fue convocado para proveer una plaza en la especialidad de Computación, por 10 que la reubicación de la profesora Alejandrina Clemencia Pascual Basurto -aduciéndose un supuesto error de publicación-, no puede dejar sin efecto una Resolución de Nombramiento, ya que, en oda caso, dicha plaza debería ser cubierta mediante otro concurso público, a fin de no favorecer a nadie y no contravenir el derecho de terceros. La recurrida, revocando la apelada, declaró improcedente la demanda, dado que el demandante no ha acreditado que efectivamente haya quedado desplazado y Sin rabajo, con lo que no se ha configurado afectación alguna de sus derechos.",Fundada,"['4. Asimismo, no puede pretenderse que la Resolución Directoral N.° 02460, de fecha 5 de junio de 2001, haya modificado o anulado la resolución que nombró al demandante en la plaza de Computación en el Colegio Nacional Aurelio Cárdenas, puesto que no contiene disposición alguna a ese respecto, por lo que la misma debe ser declarada inaplicable, así como la Resolución Directoral Regional N.° 04109, de fecha 12 de setiembre de 2001, en aplicación del artículo 7 de la Ley N.° 23506.', '5. En consecuencia, es evidente la afectación del derecho a la libertad de trabajo del demandante, consagrado en el inciso 15), artículo 2 de la Constitución Política del Perú, por los fundamentos antes expuestos.']"
01221-2000-AA,https://tc.gob.pe/jurisprudencia/2002/01221-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"El recurrente, interpone acción de amparo contra el Ministro del Intelior, el Director General y el Director de Personal de la Policía Nacional del Perú, solicitando que se declare no aplicables a su persona los alcances de la Resolución Directoral N° 3462-95- DGPNP/DIPER-PNP, de fecha veinticinco de julio de mil novecientos noventa y cinco, mediante la cual se resuelve pasarlo de la situación de actividad a la de disponibilidad, por medida disciplinaria motivada por las faltas de desobediencia e insubordinación, y que dicha situación afecta su carrera de miembro activo de la PNP en el grado de Suboficial de Primera; considerando estos hechos como una conculcación de sus derechos al trabajo y presunción de inocencia, razones por las que solicita su reposición al servicio activo de su institución. El Procurador Público del Ministerio del Interior a cargo de los asuntos judiciales de la Policía Nacional del Perú contesta la demanda y propone las excepciones de falta de agotamiento de la vía administrativa y de caducidad; y solicita que sea declarada infundada, en razón de que el demandante fue sometido a una investigación mediante el Parte Administrativo Disciplinario N.O 025-93-DINOES-PNP-REG.MPLL.EM que sustenta su pase al retiro por haber incurrido en faltas graves contra la moral policial y contra la disciplina, las que afectan seriamente el honor, decoro y prestigio de la Institución, previstas en los artículos 38°, inciso b), 50°, inciso f) y 57° del Decreto Legislativo N.O 745. ""6 El Primer Juzgado Corporativo Transitorio Especializado en Derecho Público de Lima, a fojas ciento siete, con fecha veintiocho de enero de dos mil, declaró infundadas las excepciones de caducidad y de falta de agotamiento de la vía administrativa, y fundada la demanda, aduciendo, principalmente, que en autos se evidencia que la medida disciplinaria impuesta al demandante se contrapone a la proporcionalidad y razonabilidad del principio de inocencia consagrado en la Carta Política, ya que al existir pronunciamiento judicial sobre la inocencia del imputado, es obvio advertir el exceso cometido por la Administración y, por tanto, la vulneración de sus derechos constitucionales. La recurrida revocó, en parte, la apelada, declarando improcedente la demanda, aduciendo, principalmente, que la entidad emplazada ha actuado confOlme a las atribuciones conferidas en el Decreto Legislativo N.O 745, y que a su vez el demandante tuvo la oportunidad de efectuar su descargo, ejerciendo de manera irrestricta su derecho a la defensa; consecuentemente, su pase a la situación de disponibilidad por la causal de medida disciplinaria, no vulnera derecho constitucional alguno; y la confirma en el extremo en que",Fundada,"['2. Con anterioridad este Tribunal (Expediente N° 766-2000-AA/TC, de fecha veintidós de diciembre de dos mil, al pronunciarse sobre la validez de la resolución cuestionada N° 3462-95-DGPNP/DIPER-PNP) ha concluido que la entidad demandada afectó el derecho constitucional al debido proceso sustantivo, ya que no valoró debidamente los medios de prueba ofrecidos y actuados en el procedimiento administrativo, y, por extensión, se vulneró el derecho constitucional al trabajo, pues la vigencia de la sanción administrativa contra el demandante impide irrazonablemente que éste pueda continuar laborando como miembro de la Policía Nacional del Perú; criterio que también es aplicable al presente caso, toda vez que las imputaciones de sus faltas han sido dilucidadas en la jurisdicción castrense que sentenció declarando su inocencia.']"
01221-2000-AA,https://tc.gob.pe/jurisprudencia/2002/01221-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"El recurrente, interpone acción de amparo contra el Ministro del Intelior, el Director General y el Director de Personal de la Policía Nacional del Perú, solicitando que se declare no aplicables a su persona los alcances de la Resolución Directoral N° 3462-95- DGPNP/DIPER-PNP, de fecha veinticinco de julio de mil novecientos noventa y cinco, mediante la cual se resuelve pasarlo de la situación de actividad a la de disponibilidad, por medida disciplinaria motivada por las faltas de desobediencia e insubordinación, y que dicha situación afecta su carrera de miembro activo de la PNP en el grado de Suboficial de Primera; considerando estos hechos como una conculcación de sus derechos al trabajo y presunción de inocencia, razones por las que solicita su reposición al servicio activo de su institución. El Procurador Público del Ministerio del Interior a cargo de los asuntos judiciales de la Policía Nacional del Perú contesta la demanda y propone las excepciones de falta de agotamiento de la vía administrativa y de caducidad; y solicita que sea declarada infundada, en razón de que el demandante fue sometido a una investigación mediante el Parte Administrativo Disciplinario N.O 025-93-DINOES-PNP-REG.MPLL.EM que sustenta su pase al retiro por haber incurrido en faltas graves contra la moral policial y contra la disciplina, las que afectan seriamente el honor, decoro y prestigio de la Institución, previstas en los artículos 38°, inciso b), 50°, inciso f) y 57° del Decreto Legislativo N.O 745. ""6 El Primer Juzgado Corporativo Transitorio Especializado en Derecho Público de Lima, a fojas ciento siete, con fecha veintiocho de enero de dos mil, declaró infundadas las excepciones de caducidad y de falta de agotamiento de la vía administrativa, y fundada la demanda, aduciendo, principalmente, que en autos se evidencia que la medida disciplinaria impuesta al demandante se contrapone a la proporcionalidad y razonabilidad del principio de inocencia consagrado en la Carta Política, ya que al existir pronunciamiento judicial sobre la inocencia del imputado, es obvio advertir el exceso cometido por la Administración y, por tanto, la vulneración de sus derechos constitucionales. La recurrida revocó, en parte, la apelada, declarando improcedente la demanda, aduciendo, principalmente, que la entidad emplazada ha actuado confOlme a las atribuciones conferidas en el Decreto Legislativo N.O 745, y que a su vez el demandante tuvo la oportunidad de efectuar su descargo, ejerciendo de manera irrestricta su derecho a la defensa; consecuentemente, su pase a la situación de disponibilidad por la causal de medida disciplinaria, no vulnera derecho constitucional alguno; y la confirma en el extremo en que",Fundada,"['2. Con anterioridad este Tribunal (Expediente N° 766-2000-AA/TC, de fecha veintidós de diciembre de dos mil, al pronunciarse sobre la validez de la resolución cuestionada N° 3462-95-DGPNP/DIPER-PNP) ha concluido que la entidad demandada afectó el derecho constitucional al debido proceso sustantivo, ya que no valoró debidamente los medios de prueba ofrecidos y actuados en el procedimiento administrativo, y, por extensión, se vulneró el derecho constitucional al trabajo, pues la vigencia de la sanción administrativa contra el demandante impide irrazonablemente que éste pueda continuar laborando como miembro de la Policía Nacional del Perú; criterio que también es aplicable al presente caso, toda vez que las imputaciones de sus faltas han sido dilucidadas en la jurisdicción castrense que sentenció declarando su inocencia.']"
00748-2000-AA,https://tc.gob.pe/jurisprudencia/2002/00748-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La recurrente interpone acción de amparo contra el diario El Clarín, por realizar publicaciones que afectan su derecho constitucional al honor, la buena reputación y a la intimidad personal y familiac y, en consecuencia, solicita se ordene que ""cese(n) ... los actos (publicaciones periodísticas) y amenazas"" que mediante tal publicación se viene efectuando "" en su contra. Sostiene que el diario El Clarín. en sus publicaciones del nueve. quince, I diecisiete y veintiuno de setiembre de mil novecientos noventa y nueve. ha publicado titulares que afectar1 sus derechos constitucionales, poniendo en tela de juicio el ejercicio de sus funciones como alcaldesa de la Municipalidad Provincial de San Miguel, Cajamarca. Precisa que, de conformidad con la Ley N.o 26775, solicitó que la entidad demandada se rectificara, lo que no sólo no se ha producido, sino que inclusive se han seguido publicando notas periodísticas que afectan su honor, buena reputación e intimidad personal y familiar. Con fecha dieciocho de mayo de dos mil, el Juez del Tercer Juzgado Civil de Cajamarca declaró infundada la demanda, por considerar, que la demandante no ha había acreditado que fueran inexactas las informaciones difundidas por la entidad demandada. La recurrida contirmó la apelada, principalmente porque se ha convertido en irreparable la agresión.",Improcedente,"['1. Siendo el objeto de la pretensión que se ordene que la entidad demandada deje de difundir los hechos noticiosos que se consideran agraviantes a los derechos constitucionales de la demandante este Tribunal Constitucional ha de recordar que, la libertad de información no está (ni puede estar) sujeta a censura previa. Por el contrario, conforme se señala en el inciso 4) del artículo 2° de la Constitución Política del Estado, su ejercicio no puede estar sujeto, bajo ningún punto de vista, a autorización, censura previa o impedimento alguno.']"
00748-2000-AA,https://tc.gob.pe/jurisprudencia/2002/00748-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La recurrente interpone acción de amparo contra el diario El Clarín, por realizar publicaciones que afectan su derecho constitucional al honor, la buena reputación y a la intimidad personal y familiac y, en consecuencia, solicita se ordene que ""cese(n) ... los actos (publicaciones periodísticas) y amenazas"" que mediante tal publicación se viene efectuando "" en su contra. Sostiene que el diario El Clarín. en sus publicaciones del nueve. quince, I diecisiete y veintiuno de setiembre de mil novecientos noventa y nueve. ha publicado titulares que afectar1 sus derechos constitucionales, poniendo en tela de juicio el ejercicio de sus funciones como alcaldesa de la Municipalidad Provincial de San Miguel, Cajamarca. Precisa que, de conformidad con la Ley N.o 26775, solicitó que la entidad demandada se rectificara, lo que no sólo no se ha producido, sino que inclusive se han seguido publicando notas periodísticas que afectan su honor, buena reputación e intimidad personal y familiar. Con fecha dieciocho de mayo de dos mil, el Juez del Tercer Juzgado Civil de Cajamarca declaró infundada la demanda, por considerar, que la demandante no ha había acreditado que fueran inexactas las informaciones difundidas por la entidad demandada. La recurrida contirmó la apelada, principalmente porque se ha convertido en irreparable la agresión.",Improcedente,"['1. Siendo el objeto de la pretensión que se ordene que la entidad demandada deje de difundir los hechos noticiosos que se consideran agraviantes a los derechos constitucionales de la demandante este Tribunal Constitucional ha de recordar que, la libertad de información no está (ni puede estar) sujeta a censura previa. Por el contrario, conforme se señala en el inciso 4) del artículo 2° de la Constitución Política del Estado, su ejercicio no puede estar sujeto, bajo ningún punto de vista, a autorización, censura previa o impedimento alguno.']"
00470-2001-AA,https://tc.gob.pe/jurisprudencia/2002/00470-2001-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La recurrente, con fecha tres de enero de dos mil uno, interpuso aCClOn de amparo contra la Municipalidad Provincial de Huancabamba, a fin de que se deje sin efecto la carta notarial de fecha veintiuno de diciembre de dos mil, por la que se le",Fundada,"['1. El artículo 42° del Decreto Supremo N° 039-98-PCM, estipula que procede la ejecución de garantías cuando el incumplimiento del contratista ha quedado determinado mediante resolución administrativa o laudo arbitral consentidos, siendo que en el caso de autos, a fojas ochenta y tres, obra el recurso de apelación interpuesto por la recurrente, de fecha veintidós de diciembre de dos mil, hecho que acredita que la Municipalidad Provincial de Huancabamba, al ejecutar la carta fianza, mediante Oficio N° 593-2000-MPH/A, del veintisiete de diciembre de dos mil, no ha tenido en cuenta que, para ello, debió agotar el procedimiento administrativo iniciado por la recurrente.']"
00470-2001-AA,https://tc.gob.pe/jurisprudencia/2002/00470-2001-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La recurrente, con fecha tres de enero de dos mil uno, interpuso aCClOn de amparo contra la Municipalidad Provincial de Huancabamba, a fin de que se deje sin efecto la carta notarial de fecha veintiuno de diciembre de dos mil, por la que se le",Fundada,"['1. El artículo 42° del Decreto Supremo N° 039-98-PCM, estipula que procede la ejecución de garantías cuando el incumplimiento del contratista ha quedado determinado mediante resolución administrativa o laudo arbitral consentidos, siendo que en el caso de autos, a fojas ochenta y tres, obra el recurso de apelación interpuesto por la recurrente, de fecha veintidós de diciembre de dos mil, hecho que acredita que la Municipalidad Provincial de Huancabamba, al ejecutar la carta fianza, mediante Oficio N° 593-2000-MPH/A, del veintisiete de diciembre de dos mil, no ha tenido en cuenta que, para ello, debió agotar el procedimiento administrativo iniciado por la recurrente.']"
00350-2000-AA,https://tc.gob.pe/jurisprudencia/2002/00350-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La demandante, con fecha doce de noviembre de mil novecientos noventa y nueve, interpuso acción de amparo contra la Gerencia Departamental de Tumbes de EsSalud, a fin de que se declare la no aplicación de la Carta N° 1006-GDTU ESSALUD-1999, de fecha veintiocho de octubre de mil novecientos noventa y nueve, en vittud de la cual se le comunicó que se había dispuesto su despido, por causal de excedencia, al no haber aprobado la evaluación de personal, correspondiente al semestre comprendido entre enero y junio de mil novecientos noventa y nueve. Asimismo, solicita que se le restituya en su puesto de trabajo y se le paguen las remuneraciones dejadas de percibir. La emplazada contesta la demanda señalando que la demandante ha sido cesada por causal de excedencia, de acuerdo al Decreto Ley N.o 26093, pues el puntaje que obtuvo en la evaluación del primer semestre de mil novecientos noventa y nueve fue inferior a los 601 100 puntos. Asimismo, propone la excepción de incompetencia. El Juzgado Especializado en lo Civil de Tumbes, a fojas ciento diez, con fecha veintinueve de noviembre de mil novecientos noventa y nueve, declaró fundada la demanda, por considerar que el despido fue ejecutado el mismo día en que fue notificado, recortándose así la posibilidad de que la medida fuera impugnada. -~--v La recurrida, revocando la apelada, declaró improcedente la demanda, considerando que la pretensión de la demandante debía ser debatida en una instancia ~ordinaria que contase con estación probatoria. . · ..",Fundada/Infundada,"['4. Se encuentra acreditado que mediante la Carta N° 1006-GDTU-ESSALUD-1999, de fecha veintiocho de octubre de mil novecientos noventa y nueve, obrante a fojas cinco, la demandante fue cesada por causal de excedencia, por no haber aprobado la evaluación de personal correspondiente al semestre comprendido entre enero y junio de mil novecientos noventa y nueve.', '5. En consecuencia, al haberse dispuesto el cese de la demandante con fecha posterior al período de evaluación que la demandada se encontraba autorizada a efectuar, se ha violado el derecho al debido proceso consagrado en el artículo 139° inciso 3) de la Constitución Política del Perú.']"
00350-2000-AA,https://tc.gob.pe/jurisprudencia/2002/00350-2000-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"La demandante, con fecha doce de noviembre de mil novecientos noventa y nueve, interpuso acción de amparo contra la Gerencia Departamental de Tumbes de EsSalud, a fin de que se declare la no aplicación de la Carta N° 1006-GDTU ESSALUD-1999, de fecha veintiocho de octubre de mil novecientos noventa y nueve, en vittud de la cual se le comunicó que se había dispuesto su despido, por causal de excedencia, al no haber aprobado la evaluación de personal, correspondiente al semestre comprendido entre enero y junio de mil novecientos noventa y nueve. Asimismo, solicita que se le restituya en su puesto de trabajo y se le paguen las remuneraciones dejadas de percibir. La emplazada contesta la demanda señalando que la demandante ha sido cesada por causal de excedencia, de acuerdo al Decreto Ley N.o 26093, pues el puntaje que obtuvo en la evaluación del primer semestre de mil novecientos noventa y nueve fue inferior a los 601 100 puntos. Asimismo, propone la excepción de incompetencia. El Juzgado Especializado en lo Civil de Tumbes, a fojas ciento diez, con fecha veintinueve de noviembre de mil novecientos noventa y nueve, declaró fundada la demanda, por considerar que el despido fue ejecutado el mismo día en que fue notificado, recortándose así la posibilidad de que la medida fuera impugnada. -~--v La recurrida, revocando la apelada, declaró improcedente la demanda, considerando que la pretensión de la demandante debía ser debatida en una instancia ~ordinaria que contase con estación probatoria. . · ..",Fundada/Infundada,"['4. Se encuentra acreditado que mediante la Carta N° 1006-GDTU-ESSALUD-1999, de fecha veintiocho de octubre de mil novecientos noventa y nueve, obrante a fojas cinco, la demandante fue cesada por causal de excedencia, por no haber aprobado la evaluación de personal correspondiente al semestre comprendido entre enero y junio de mil novecientos noventa y nueve.', '5. En consecuencia, al haberse dispuesto el cese de la demandante con fecha posterior al período de evaluación que la demandada se encontraba autorizada a efectuar, se ha violado el derecho al debido proceso consagrado en el artículo 139° inciso 3) de la Constitución Política del Perú.']"
00845-1999-AA,https://tc.gob.pe/jurisprudencia/2002/00845-1999-AA.pdf,data\sentencia-Extract\2002\sentencia-pdf-2002.csv,Proceso de Amparo,"El objeto de la presente demanda es que se declare la no aplicación de la Resolución Ministerial N.o O1 44, de fecha veintitrés de febrero de mil novecientos noventa y ocho, por la que se resolvió separar al demandante, en su condición de alumno del segundo año, de la Academia Diplomática del Perú, por la causal de insuficiencia académica. En consecuencia, solicita que se ordene su reposición en el mismo grado y en las mismas condiciones que se dieron al momento de su separación. Argumenta que se ha violado el derecho al debido proceso, ya que no!s e ha respetado el procedimiento establecido en el Reglamento Orgánico de la citada Academia. El Procurador Público a cargo de los asuntos judiciales del Ministerio de Relaciones Exteriores contesta la demanda señalando que, conforme al artículo quinto del Decreto Supremo N.O Ol-94-RE un requisito para optar la Maestria en Diplomacia es haber concluido satisfactoriamente los cuatro semestres académicos, condición que no ha cumplido el demandante, ya que luego de brindársele la oportunidad de subsanar el examen de Teoría y Práctica Consular, resultó desaprobado, por 10 que fue separado de acuerdo al artículo 380 inciso d), del Reglamento Orgánico de la Academia , Diplomática del Perú. El Primer Juzgado Corporativo Transitorio Especializado en Derecho Público de Lima, a fojas ciento nueve, con fecha diez de agosto de mil novecientos noventa y ocho, declaró infundada la demanda, considerando que la resolución cuestionada ha sido ~ ~pedida en ejercicio de las funciones de la Academia Diplomática del Perú, y que el demandante, al haberse presentado al examen de subsanación, aceptó tácitamente su resultado. La recurrida, revocando la apelada, declaró improcedente la demanda, considerando que la separación del demandante de la Academia Diplomática del Perú es el resultado de una evaluación académica.",Fundada,"['5. De acuerdo con la afirmación hecha por el demandante en el punto cinco de los fundamentos de hecho de su demanda, que no ha sido contradicha por la parte demandada, las notas finales fueron puestas en su conocimiento el dieciocho de diciembre de mil novecientos noventa y siete, por lo que en el supuesto de que esta comunicación haya sido formal, al haberse señalado como fechas para el examen de subsanación los días veintidós y veintitrés de diciembre del mismo año, se encuentra acreditado que no se cumplió con el plazo mínimo de una semana para tomar dicho examen, computado desde la fecha de la comunicación formal de las notas finales.']"
